Wall time,Step,Value
1754123228.5267627,15300000,742.013671875
1754123295.987856,15400000,736.522705078125
1754123363.7285693,15500000,659.6710815429688
1754123434.2932856,15600000,804.98291015625
1754123501.527267,15700000,789.7153930664062
1754123572.213696,15800000,845.1101684570312
1754123640.0511646,15900000,949.05712890625
1754123710.166201,16000000,1026.03125
1754123777.7069695,16100000,706.17333984375
1754123845.739859,16200000,648.4053955078125
1754123915.9814842,16300000,827.8079833984375
1754123983.5818954,16400000,676.5958862304688
1754124054.3864565,16500000,642.2820434570312
1754124121.8442104,16600000,724.26318359375
1754124192.0903742,16700000,1023.6444702148438
1754124259.8002868,16800000,937.610595703125
1754124330.1859832,16900000,964.4660034179688
1754124397.588664,17000000,947.3240966796875
1754124466.1134906,17100000,933.8571166992188
1754124536.3976822,17200000,941.6574096679688
1754124604.1488733,17300000,831.2764282226562
1754124674.480482,17400000,772.8897705078125
1754124742.2901962,17500000,807.0078735351562
1754124812.7338367,17600000,824.4180297851562
1754124879.9257486,17700000,930.0194091796875
1754124947.4765084,17800000,899.0885009765625
1754125017.9138815,17900000,805.1652221679688
1754125085.3441725,18000000,862.9199829101562
1754125155.758899,18100000,853.0423583984375
1754125223.1323478,18200000,758.125
1754125293.298651,18300000,839.4310302734375
1754125361.3320546,18400000,857.0416870117188
1754125431.8444376,18500000,964.97998046875
1754125499.299406,18600000,951.0599975585938
1754125567.0430233,18700000,981.69091796875
1754125637.8031816,18800000,801.031005859375
1754125705.0471652,18900000,888.5321044921875
1754125775.5711958,19000000,1011.4257202148438
1754125842.8992069,19100000,935.673095703125
1754125912.9364192,19200000,963.9905395507812
1754125980.3644788,19300000,773.3170776367188
1754126050.715893,19400000,836.11572265625
1754126118.072899,19500000,762.977294921875
1754126185.3189209,19600000,799.4835815429688
1754126255.9825456,19700000,880.156494140625
1754126323.5825832,19800000,896.3245849609375
1754126393.9562068,19900000,786.9596557617188
1754126461.5418844,20000000,979.7378540039062
1754126531.8775425,20100000,906.4196166992188
1754126599.367488,20200000,848.3247680664062
1754126667.1314507,20300000,997.8865966796875
1754126737.240557,20400000,957.0392456054688
1754126804.7109325,20500000,872.9747924804688
1754126875.2055423,20600000,788.1393432617188
1754126942.4523606,20700000,995.876220703125
1754127012.8584013,20800000,954.9010009765625
1754127080.3113058,20900000,834.6799926757812
1754127150.4299948,21000000,879.4722290039062
1754127217.5277927,21100000,1030.8900146484375
1754127285.08537,21200000,949.0927734375
1754127355.2537751,21300000,1073.549072265625
1754127422.5502179,21400000,974.6300048828125
1754127492.623136,21500000,1204.9268798828125
1754127560.1741552,21600000,1008.2451171875
1754127630.2407386,21700000,1071.5699462890625
1754127697.3155706,21800000,996.39794921875
1754127764.944223,21900000,1001.94287109375
1754127835.1402216,22000000,909.3203735351562
1754127902.4706502,22100000,1058.0927734375
1754127972.562628,22200000,989.2604370117188
1754128039.9074411,22300000,949.914306640625
1754128110.0837007,22400000,886.5263061523438
1754128177.458048,22500000,1010.9514770507812
1754128247.2791986,22600000,971.565673828125
1754128314.5399256,22700000,1099.111083984375
1754128382.0926425,22800000,1109.9031982421875
1754128452.0647745,22900000,964.3663330078125
1754128519.4640062,23000000,817.3984375
1754128590.12746,23100000,873.9217529296875
1754128656.9969177,23200000,1034.7078857421875
1754128727.4011273,23300000,1090.7978515625
1754128794.6773984,23400000,1044.8265380859375
1754128864.9660232,23500000,1016.627685546875
1754128932.6355972,23600000,1039.3333740234375
1754128999.8145869,23700000,973.0485229492188
1754129070.078105,23800000,864.8067016601562
1754129137.757859,23900000,925.1008911132812
1754129207.8588696,24000000,898.587158203125
1754129275.5814888,24100000,853.8558349609375
1754129345.514619,24200000,923.2321166992188
1754129412.4073577,24300000,1053.821044921875
1754129479.796556,24400000,1027.1224365234375
1754129549.9162645,24500000,1001.11767578125
1754129617.2762077,24600000,1028.0318603515625
1754129687.3638792,24700000,979.0294189453125
1754129754.432815,24800000,869.4827880859375
1754129824.31272,24900000,1003.412353515625
1754129891.836363,25000000,1065.6451416015625
1754129961.8690321,25100000,975.6074829101562
1754130029.1559105,25200000,901.037353515625
1754130096.1373568,25300000,1089.82421875
1754130166.0384433,25400000,1062.4842529296875
1754130233.201305,25500000,999.0961303710938
1754130302.9849894,25600000,1028.5699462890625
1754130370.3421931,25700000,1025.9793701171875
1754130440.3171172,25800000,908.9459228515625
1754130507.626179,25900000,893.8318481445312
1754130574.9709766,26000000,935.7870483398438
1754130644.8918753,26100000,1053.3297119140625
1754130712.0676649,26200000,1037.89111328125
1754130782.246119,26300000,1042.8602294921875
1754130849.3941486,26400000,895.720703125
1754130919.3250499,26500000,1038.2708740234375
1754130986.693047,26600000,904.4821166992188
1754131057.0416508,26700000,980.6161499023438
1754131123.9714026,26800000,1046.561279296875
1754131191.2522836,26900000,934.1339111328125
1754131261.5963004,27000000,980.9591674804688
1754131329.1126819,27100000,956.7843017578125
1754131398.6630504,27200000,1162.862060546875
1754131465.9174025,27300000,1025.7347412109375
1754131535.9184184,27400000,975.3333129882812
1754131602.9243698,27500000,1144.5233154296875
1754131673.2641566,27600000,1072.8829345703125
1754131740.2299588,27700000,1143.2413330078125
1754131807.0812125,27800000,1150.4534912109375
1754131877.3328538,27900000,1018.62744140625
1754131944.4311306,28000000,1033.819091796875
1754132014.2092462,28100000,984.010009765625
1754132081.4522665,28200000,1073.855712890625
1754132151.1159716,28300000,1121.712646484375
1754132218.0817213,28400000,1108.9326171875
1754132285.502135,28500000,1064.2696533203125
1754132355.6796203,28600000,1111.91748046875
1754132422.7517753,28700000,1049.3052978515625
1754132492.7290301,28800000,1026.98974609375
1754132560.271887,28900000,989.1764526367188
1754132630.0566661,29000000,877.1150512695312
1754132697.8305674,29100000,864.2313842773438
1754132767.7086174,29200000,1049.977783203125
1754132834.7493892,29300000,1056.3441162109375
1754132902.1242723,29400000,997.5773315429688
1754132972.2122629,29500000,1015.4000244140625
1754133039.4581108,29600000,982.1134033203125
1754133109.2492611,29700000,1152.4444580078125
1754133176.7007546,29800000,1055.4674072265625
1754133246.700236,29900000,1108.8477783203125
1754133313.8832235,30000000,1041.5850830078125
